"","team","season","tot_injured_value_lost"
"392","ATL",2015,5.050483
"393","KC",2007,5.045516
"394","SEA",2015,5.016516
"395","DAL",2019,5.01314575
"396","NE",2002,4.90318
"397","IND",2016,4.895606625
"398","KC",2014,4.860329
"399","CIN",2008,4.855017
"400","GB",2005,4.813378
"401","LV",2017,4.778660875
"402","NYG",2008,4.632255
"403","MIN",2012,4.588894
"404","GB",2006,4.573303
"405","LA",2017,4.56513952941176
"406","ATL",2016,4.49143863157895
"407","TEN",2017,4.43399606349206
"408","NO",2014,4.416692
"409","PIT",2008,4.339598
"410","TB",2018,4.3297578375
"411","NO",2010,4.139197
"412","MIA",2006,4.089738
"413","MIA",2007,4.089738
"414","JAX",2013,4.017057
"415","NO",2011,3.934036
"416","DEN",2018,3.917698125
"417","HOU",2018,3.81696579738562
"418","TEN",2011,3.799858
"419","NYJ",2015,3.793398
"420","NE",2012,3.747148
"421","ARI",2018,3.4972496625
"422","BAL",2019,3.45909223529412
"423","KC",2017,3.43107123529412
"424","MIN",2022,3.4220075
"425","JAX",2014,3.419296
"426","CLE",2013,3.404442
"427","LA",2016,3.404138125
"428","NE",2014,3.346299
"429","ATL",2020,3.3386599375
"430","BUF",2017,3.16796680952381
"431","CAR",2015,3.119417
"432","TB",2014,3.040476
"433","MIA",2012,2.85814
"434","MIN",2015,2.833364
"435","CAR",2016,2.8134104375
"436","CLE",2003,2.810797
"437","DET",2017,2.76380725
"438","DET",2014,2.644324
"439","GB",2018,2.61641755681818
"440","MIN",2018,2.601562
"441","SEA",2017,2.58469876704545
"442","NYJ",2013,2.494885
"443","LA",2011,2.485527
"444","CIN",2010,2.474807
"445","NYG",2006,2.423313
"446","SEA",2018,2.41591502941176
"447","TB",2012,2.395612
"448","ATL",2017,2.3808965
"449","NE",2013,2.348235
"450","KC",2013,2.276955
"451","LA",2018,2.24425957894737
"452","DEN",2017,2.2066135625
"453","NYG",2012,2.096498
"454","HOU",2016,2.06227638888889
"455","BAL",2002,2.022337
"456","CAR",2007,1.937322
"457","MIA",2011,1.888033
"458","PIT",2017,1.86119852941176
"459","DEN",2014,1.798352
"460","GB",2012,1.747139
"461","DET",2003,1.727974
"462","IND",2014,1.641857
"463","BUF",2018,1.5831035
"464","DAL",2011,1.577189
"465","PHI",2016,1.5191396875
"466","GB",2016,1.49759268421053
"467","CLE",2011,1.453367
"468","WAS",2011,1.438515
"469","LA",2009,1.371633
"470","JAX",2011,1.34085
"471","MIN",2014,1.327408
"472","LV",2011,1.318214
"473","SF",2012,1.315042
"474","TEN",2012,1.271809
"475","NE",2005,1.264963
"476","IND",2010,1.260648
"477","IND",2011,1.260648
"478","CIN",2014,1.198008
"479","BAL",2009,1.18669
"480","BUF",2013,1.179408
"481","ATL",2003,1.16134
"482","MIA",2015,1.1402
"483","SEA",2012,1.135194
"484","SF",2013,1.115188
"485","GB",2014,1.098604
"486","CLE",2006,1.082946
"487","PIT",2007,1.064167
"488","SF",2011,0.996831
"489","HOU",2012,0.961255
"490","CAR",2011,0.940048
"491","DAL",2017,0.874274
"492","NYG",2010,0.801837
"493","TEN",2016,0.6744060625
"494","LAC",2006,0.238672
"495","DEN",2010,0.183556
"496","ARI",1997,0
"497","ARI",1998,0
"498","ARI",1999,0
"499","ARI",2000,0
"500","ARI",2001,0
"501","ARI",2002,0
"502","ARI",2003,0
"503","ARI",2004,0
"504","ARI",2006,0
"505","ARI",2008,0
"506","ARI",2009,0
"507","ARI",2010,0
"508","ARI",2011,0
"509","ARI",2013,0
"510","ARI",2015,0
"511","ATL",1998,0
"512","ATL",1999,0
"513","ATL",2000,0
"514","ATL",2001,0
"515","ATL",2002,0
"516","ATL",2004,0
"517","ATL",2005,0
"518","ATL",2006,0
"519","ATL",2007,0
"520","ATL",2008,0
"521","ATL",2009,0
"522","ATL",2010,0
"523","ATL",2011,0
"524","BAL",1996,0
"525","BAL",1997,0
"526","BAL",1998,0
"527","BAL",1999,0
"528","BAL",2000,0
"529","BAL",2001,0
"530","BAL",2003,0
"531","BAL",2004,0
"532","BAL",2005,0
"533","BAL",2006,0
"534","BAL",2010,0
"535","BAL",2011,0
"536","BUF",1998,0
"537","BUF",1999,0
"538","BUF",2000,0
"539","BUF",2001,0
"540","BUF",2002,0
"541","BUF",2003,0
"542","BUF",2004,0
"543","BUF",2005,0
"544","BUF",2006,0
"545","BUF",2007,0
"546","BUF",2008,0
"547","BUF",2010,0
"548","CAR",2000,0
"549","CAR",2001,0
"550","CAR",2002,0
"551","CAR",2003,0
"552","CAR",2004,0
"553","CAR",2005,0
"554","CAR",2006,0
"555","CAR",2008,0
"556","CAR",2009,0
"557","CAR",2013,0
"558","CAR",2014,0
"559","CHI",2000,0
"560","CHI",2001,0
"561","CHI",2002,0
"562","CHI",2003,0
"563","CHI",2004,0
"564","CHI",2005,0
"565","CHI",2006,0
"566","CHI",2008,0
"567","CHI",2010,0
"568","CIN",2001,0
"569","CIN",2002,0
"570","CIN",2003,0
"571","CIN",2004,0
"572","CIN",2005,0
"573","CIN",2006,0
"574","CIN",2007,0
"575","CIN",2009,0
"576","CLE",1999,0
"577","CLE",2000,0
"578","CLE",2001,0
"579","CLE",2002,0
"580","CLE",2005,0
"581","CLE",2007,0
"582","CLE",2009,0
"583","CLE",2010,0
"584","CLE",2012,0
"585","DAL",1995,0
"586","DAL",1996,0
"587","DAL",1997,0
"588","DAL",1998,0
"589","DAL",1999,0
"590","DAL",2000,0
"591","DAL",2001,0
"592","DAL",2002,0
"593","DAL",2003,0
"594","DAL",2004,0
"595","DAL",2005,0
"596","DAL",2006,0
"597","DAL",2007,0
"598","DAL",2008,0
"599","DAL",2009,0
"600","DAL",2013,0
"601","DEN",1993,0
"602","DEN",1994,0
"603","DEN",1995,0
"604","DEN",1996,0
"605","DEN",1997,0
"606","DEN",1998,0
"607","DEN",1999,0
"608","DEN",2000,0
"609","DEN",2001,0
"610","DEN",2003,0
"611","DEN",2004,0
"612","DEN",2005,0
"613","DEN",2006,0
"614","DEN",2009,0
"615","DEN",2013,0
"616","DEN",2015,0
"617","DET",1995,0
"618","DET",1996,0
"619","DET",1997,0
"620","DET",1998,0
"621","DET",1999,0
"622","DET",2000,0
"623","DET",2001,0
"624","DET",2002,0
"625","DET",2004,0
"626","DET",2005,0
"627","DET",2006,0
"628","DET",2007,0
"629","DET",2008,0
"630","DET",2011,0
"631","GB",1994,0
"632","GB",1995,0
"633","GB",1996,0
"634","GB",1997,0
"635","GB",1998,0
"636","GB",1999,0
"637","GB",2000,0
"638","GB",2001,0
"639","GB",2002,0
"640","GB",2003,0
"641","GB",2004,0
"642","GB",2007,0
"643","GB",2008,0
"644","GB",2009,0
"645","GB",2011,0
"646","GB",2015,0
"647","HOU",2002,0
"648","HOU",2003,0
"649","HOU",2004,0
"650","HOU",2005,0
"651","HOU",2006,0
"652","HOU",2008,0
"653","HOU",2010,0
"654","IND",1994,0
"655","IND",1995,0
"656","IND",1996,0
"657","IND",1997,0
"658","IND",1998,0
"659","IND",1999,0
"660","IND",2000,0
"661","IND",2001,0
"662","IND",2002,0
"663","IND",2003,0
"664","IND",2004,0
"665","IND",2005,0
"666","IND",2007,0
"667","IND",2008,0
"668","IND",2009,0
"669","JAX",1995,0
